cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
44.23790000000001,62.103,78.66999999999996,90.1909,63.0,53.8156,4.2231,42.461,1.0,False,False,True,True
8.294999999999995,59.1315,74.9259,73.7445,18.0,33.2873,53.0764,88.4102,0.0,True,True,False,False
0.0,46.8929,93.378,80.0029,99.0,96.3904,67.6195,90.9197,0.0,False,False,False,False
0.2806999999999995,100.0,80.24239999999999,65.1554,47.0,69.6355,0.0011,35.9473,0.0,False,True,False,False
32.2039,91.8948,91.8564,93.6609,25.0,36.1938,59.1996,68.7995,1.0,True,False,True,True
13.4425,79.0075,80.027,99.3106,47.0,86.3689,4.42,70.5661,0.0,False,True,False,False
24.489,93.895,60.321,38.9656,98.0,47.8679,47.1785,70.2172,1.0,True,True,True,True
6.705300000000001,73.6039,26.3563,45.4349,64.0,55.125,52.3863,60.9854,1.0,True,False,True,True
12.099500000000004,98.8575,83.7627,89.3561,84.0,68.8582,88.2897,42.0357,1.0,True,True,True,True
22.920299999999997,84.4594,40.794,56.9262,13.0,23.6643,47.0188,70.3897,1.0,True,True,True,True
16.177,75.619,93.3328,75.1774,31.0,1.2248,19.0818,19.5623,1.0,True,False,True,True
0.0,85.00550000000001,97.48600000000002,92.3489,42.0,52.9716,28.6816,86.0316,0.0,False,True,True,True
45.54,41.657500000000006,97.8074,95.0953,21.0,35.7994,70.2005,91.2023,1.0,True,False,True,True
18.0,62.103,98.12,83.7049,14.0,4.8252,16.3013,94.6488,0.0,False,True,False,False
16.177,81.985,81.054,58.329,23.0,37.9033,78.5726,39.9429,1.0,True,False,True,True
28.646,62.236,68.6699,95.8701,23.0,50.5943,88.385,20.1838,1.0,True,False,True,True
16.177,83.97,98.2712,62.1208,39.0,11.4522,72.2511,80.933,0.0,True,True,True,False
13.4425,84.96249999999999,99.0274,90.2445,89.0,99.8543,46.2138,53.9668,1.0,False,False,False,False
36.927,81.059,99.9082,3.6611,19.0,54.7019,54.517,47.7714,1.0,True,False,False,False
38.053,54.0157,97.5165,17.4561,16.0,32.4669,1.6018,66.1655,0.0,False,True,False,False
16.177,46.68500000000002,90.56799999999998,77.8439,6.0,26.1727,6.0386,37.8218,1.0,True,False,False,True
32.832,41.80829999999997,45.1066,95.8326,15.0,11.7325,23.2178,18.3956,0.0,True,False,False,False
0.0583999999999989,100.0,100.0,53.7112,71.0,53.0116,8.6466,47.4856,0.0,False,False,True,True
11.107,99.5225,60.321,80.3196,23.0,69.6648,7.476,38.3102,0.0,False,True,False,False
7.061999999999999,100.0,70.782,63.7222,100.0,37.4741,2.0605,22.4667,0.0,False,True,True,False
56.6985,54.6055,72.595,26.7445,12.0,77.5129,23.4547,89.8504,0.0,False,True,False,False
0.0,70.309,84.135,80.4544,73.0,61.566,21.1552,58.7163,0.0,False,False,False,True
19.823,83.97,81.054,52.3482,59.0,24.8553,86.749,28.4842,1.0,True,True,True,True
29.050699999999992,91.3091,98.4521,90.8141,81.0,85.6378,37.7996,79.4564,1.0,True,False,True,True
46.53830000000001,71.3117,74.95259999999999,46.5431,56.0,9.737,65.9127,62.3514,1.0,True,True,True,True
26.807500000000005,92.90250000000005,75.26949999999997,84.5553,83.0,32.886,78.5856,26.7536,1.0,True,True,True,True
10.971,58.11450000000001,83.77959999999999,32.6744,52.0,36.9983,63.4434,72.1441,1.0,True,False,True,True
0.0,84.11880000000002,94.40500000000002,48.0569,53.0,61.7361,9.3199,47.8888,0.0,False,True,True,False
18.9115,98.155,99.2103,66.0041,12.0,77.93,6.8627,60.7236,0.0,False,True,False,False
28.197000000000003,63.295,98.51300000000002,30.7979,30.0,36.4075,89.5156,54.0303,0.0,True,False,False,False
0.6814999999999964,43.63949999999999,58.1605,44.0706,0.0,11.5296,56.8831,68.1696,0.0,False,False,False,True
13.4425,81.50810000000001,60.53399999999999,72.5915,52.0,2.6082,83.4326,7.4607,1.0,True,True,False,True
16.177,62.103,72.2229,48.9076,19.0,12.9341,82.8212,21.5517,1.0,True,False,True,True
11.6195,94.2853,75.44449999999999,85.0311,98.0,44.664,29.6583,30.0176,1.0,True,False,True,True
26.807500000000005,37.27,88.24300000000001,92.6371,90.0,62.6426,51.7721,35.4311,1.0,True,False,True,True
34.2924,61.8498,58.267,88.8135,89.0,11.9617,76.5954,77.6919,0.0,True,False,False,False
16.09769999999999,56.94100000000001,59.17170000000001,89.3131,63.0,35.8364,95.3932,88.3971,0.0,True,True,False,False
34.161500000000004,91.1091,85.162,95.9088,68.0,93.8269,60.1431,36.9123,1.0,False,True,True,True
16.177,62.103,76.8669,51.9492,59.0,56.7764,53.5914,47.4251,1.0,True,False,True,True
0.0,60.48829999999998,98.513,68.4464,75.0,87.665,14.0282,24.4802,0.0,False,True,False,True
25.292,83.98710000000003,60.321,52.5217,18.0,37.7061,51.6911,30.2916,0.0,True,True,False,False
0.0,100.0,90.297,43.9981,41.0,84.349,42.5809,70.7097,0.0,False,True,True,True
0.0,67.64609999999999,80.75319999999999,46.2559,94.0,73.5465,48.8895,89.829,0.0,False,True,False,False
43.8164,56.5648,63.247,90.1224,50.0,48.3918,57.7029,67.7317,1.0,True,False,True,True
18.732600000000005,53.47399999999999,98.513,30.6331,29.0,46.6866,26.071,76.0536,0.0,True,False,False,False
17.0885,95.0475,95.3998,97.3195,5.0,32.6305,95.6426,64.1163,0.0,True,True,False,False
0.0,55.73700000000001,98.51300000000002,26.3533,96.0,10.1035,10.1675,82.8116,0.0,True,True,False,True
17.0885,55.7327,94.5118,74.2377,33.0,1.7589,19.1984,19.1779,0.0,True,False,False,True
0.3976000000000006,100.0,83.43,65.3705,86.0,37.9536,0.5411,75.2479,0.0,False,False,False,True
14.4159,62.103,98.4586,46.0124,49.0,28.0372,70.6336,13.773,1.0,True,True,True,True
14.725699999999996,100.0,98.513,99.3385,63.0,58.0481,61.9407,36.508,0.0,True,True,False,True
100.0,100.0,51.0225,27.2363,38.0,95.5382,57.0769,98.9549,0.0,False,False,False,True
28.197,99.0595,99.4255,11.1977,81.0,69.9139,80.4378,64.6897,1.0,True,False,False,True
10.261,100.0,86.18900000000001,38.6844,32.0,67.9787,45.3672,92.6985,0.0,False,False,False,False
0.0,100.0,66.8025,56.6804,75.0,17.3578,64.1855,37.7036,0.0,True,False,False,True
0.0,50.22500000000001,87.32000000000001,57.5538,80.0,49.1634,94.331,27.8132,0.0,True,True,False,False
1.2314,59.059000000000005,72.5785,65.7048,32.0,75.3828,44.9279,3.1533,1.0,True,False,False,False
12.549799999999989,59.059000000000005,65.66420000000001,41.5644,87.0,88.9731,85.8382,59.0708,0.0,False,True,False,False
21.708,62.103,53.997,71.546,13.0,4.4949,26.2142,25.4331,0.0,False,True,False,False
25.7219,83.97000000000003,58.1605,56.584,98.0,77.368,44.1244,52.7742,0.0,False,True,True,False
0.0,52.21000000000001,66.53150000000001,74.8077,69.0,44.9819,80.2945,25.5146,0.0,True,True,False,False
